Company Name,Website,Founders,Founded Year,Business Model,Technical,stage,Latest Round,Funding Trajectory,Investors,Valuation
OCTAVIA,https://www.octaviatech.com/,stealth,,,,,,,,
LithologIQ,hardware - device,,,,,,,,,
geopyörä (breakage test),hardware - device,,,,,,,,,
EARTHGRID,,,,,,,,,,
QUAISE,,,,,,,,,,
HYPER SCIENCES,,,,,,,,,,
ROCKBURST TECHNOLOGIES,,,,,,,,,,
HEPHAE,,,,,,,,,,
corePLAN,,,,,,,,,,
WATOGA TECHNOLOGIES,,,,,,,,,,
NOVAMERA (SURGICAL MINING TECHNOLOGIES),,,,,,,,,,
FORO ENERGY,,,,,,,,,,
XTREMEX (MINING TECHNOLOGY),,,,,,,,,,
DURIN,,,,,,,,,,
